PackagePin	Ports	Status
A14	spi_sclk_o	PASS
A16	spi_mosi_o	PASS
A18	uart_txd_o	PASS
B15	spi_miso_i	PASS
B16	spi_ss_n_o	PASS
B18	uart_rxd_i	PASS
E19	led_o[1]	PASS
G2	reset_i	PASS
J1	sr04_trig_o	PASS
J2	dht11_io	PASS
K17	i2c_scl_io	PASS
L1	led_o[15]	PASS
L2	sr04_echo_i	PASS
M18	i2c_sda_io	PASS
N3	led_o[13]	PASS
P1	led_o[14]	PASS
P3	led_o[12]	PASS
R2	sw_i[15]	PASS
R3	sw_i[11]	PASS
T1	sw_i[14]	PASS
T17	btn_i[3]	PASS
T18	btn_i[1]	PASS
T2	sw_i[10]	PASS
T3	sw_i[9]	PASS
U1	sw_i[13]	PASS
U14	led_o[6]	PASS
U15	led_o[5]	PASS
U16	led_o[0]	PASS
U17	btn_i[4]	PASS
U18	btn_i[0]	PASS
U19	led_o[2]	PASS
U2	fnd_com_o[0]	PASS
U3	led_o[11]	PASS
U4	fnd_com_o[1]	PASS
U5	fnd_data_o[4]	PASS
U7	fnd_data_o[6]	PASS
U8	fnd_data_o[2]	PASS
V13	led_o[8]	PASS
V14	led_o[7]	PASS
V15	sw_i[5]	PASS
V16	sw_i[1]	PASS
V17	sw_i[0]	PASS
V19	led_o[3]	PASS
V2	sw_i[8]	PASS
V3	led_o[9]	PASS
V4	fnd_com_o[2]	PASS
V5	fnd_data_o[5]	PASS
V7	fnd_data_o[7]	PASS
V8	fnd_data_o[3]	PASS
W13	sw_i[7]	PASS
W14	sw_i[6]	PASS
W15	sw_i[4]	PASS
W16	sw_i[2]	PASS
W17	sw_i[3]	PASS
W18	led_o[4]	PASS
W19	btn_i[2]	PASS
W2	sw_i[12]	PASS
W3	led_o[10]	PASS
W4	fnd_com_o[3]	PASS
W5	clk_100mhz_i	PASS
W6	fnd_data_o[1]	PASS
W7	fnd_data_o[0]	PASS
