Port	Direction	PackagePin	Status
clk_100mhz_i	input	W5	PASS
reset_i	input	G2	PASS
uart_rxd_i	input	B18	PASS
uart_txd_o	output	A18	PASS
sw_i[0]	input	V17	PASS
sw_i[1]	input	V16	PASS
sw_i[2]	input	W16	PASS
sw_i[3]	input	W17	PASS
sw_i[4]	input	W15	PASS
sw_i[5]	input	V15	PASS
sw_i[6]	input	W14	PASS
sw_i[7]	input	W13	PASS
sw_i[8]	input	V2	PASS
sw_i[9]	input	T3	PASS
sw_i[10]	input	T2	PASS
sw_i[11]	input	R3	PASS
sw_i[12]	input	W2	PASS
sw_i[13]	input	U1	PASS
sw_i[14]	input	T1	PASS
sw_i[15]	input	R2	PASS
led_o[0]	output	U16	PASS
led_o[1]	output	E19	PASS
led_o[2]	output	U19	PASS
led_o[3]	output	V19	PASS
led_o[4]	output	W18	PASS
led_o[5]	output	U15	PASS
led_o[6]	output	U14	PASS
led_o[7]	output	V14	PASS
led_o[8]	output	V13	PASS
led_o[9]	output	V3	PASS
led_o[10]	output	W3	PASS
led_o[11]	output	U3	PASS
led_o[12]	output	P3	PASS
led_o[13]	output	N3	PASS
led_o[14]	output	P1	PASS
led_o[15]	output	L1	PASS
btn_i[0]	input	U18	PASS
btn_i[1]	input	T18	PASS
btn_i[2]	input	W19	PASS
btn_i[3]	input	T17	PASS
btn_i[4]	input	U17	PASS
fnd_data_o[0]	output	W7	PASS
fnd_data_o[1]	output	W6	PASS
fnd_data_o[2]	output	U8	PASS
fnd_data_o[3]	output	V8	PASS
fnd_data_o[4]	output	U5	PASS
fnd_data_o[5]	output	V5	PASS
fnd_data_o[6]	output	U7	PASS
fnd_data_o[7]	output	V7	PASS
fnd_com_o[0]	output	U2	PASS
fnd_com_o[1]	output	U4	PASS
fnd_com_o[2]	output	V4	PASS
fnd_com_o[3]	output	W4	PASS
sr04_trig_o	output	J1	PASS
sr04_echo_i	input	L2	PASS
dht11_io	inout	J2	PASS
spi_sclk_o	output	A14	PASS
spi_mosi_o	output	A16	PASS
spi_miso_i	input	B15	PASS
spi_ss_n_o	output	B16	PASS
i2c_scl_io	inout	K17	PASS
i2c_sda_io	inout	M18	PASS
